Completion probability,Expected number of experiments
0,1
0.01,1.00959595959596
0.02,1.01938775510204
0.03,1.02938144329897
0.04,1.03958333333333
0.05,1.05
0.06,1.06063829787234
0.07,1.07150537634409
0.08,1.08260869565217
0.09,1.09395604395604
0.1,1.10555555555556
0.11,1.11741573033708
0.12,1.12954545454545
0.13,1.14195402298851
0.14,1.1546511627907
0.15,1.16764705882353
0.16,1.18095238095238
0.17,1.19457831325301
0.18,1.20853658536585
0.19,1.22283950617284
0.2,1.2375
0.21,1.25253164556962
0.22,1.26794871794872
0.23,1.28376623376623
0.24,1.3
0.25,1.31666666666667
0.26,1.33378378378378
0.27,1.3513698630137
0.28,1.36944444444444
0.29,1.38802816901408
0.3,1.40714285714286
0.31,1.4268115942029
0.32,1.44705882352941
0.33,1.46791044776119
0.34,1.48939393939394
0.35,1.51153846153846
0.36,1.534375
0.37,1.55793650793651
0.38,1.58225806451613
0.39,1.60737704918033
0.4,1.63333333333333
0.41,1.66016949152542
0.42,1.68793103448276
0.43,1.71666666666667
0.44,1.74642857142857
0.45,1.77727272727273
0.46,1.80925925925926
0.47,1.84245283018868
0.48,1.87692307692308
0.49,1.91274509803922
0.5,1.95
0.51,1.98877551020408
0.52,2.02916666666667
0.53,2.07127659574468
0.54,2.11521739130435
0.55,2.16111111111111
0.56,2.20909090909091
0.57,2.2593023255814
0.58,2.31190476190476
0.59,2.36707317073171
0.6,2.425
0.61,2.48589743589744
0.62,2.55
0.63,2.61756756756757
0.64,2.68888888888889
0.65,2.76428571428571
0.66,2.84411764705882
0.67,2.92878787878788
0.68,3.01875
0.69,3.11451612903226
0.7,3.21666666666667
0.71,3.32586206896552
0.72,3.44285714285714
0.73,3.56851851851852
0.74,3.70384615384615
0.75,3.85
0.76,4.00833333333333
0.77,4.1804347826087
0.78,4.36818181818182
0.79,4.57380952380952
0.8,4.8
0.81,5.05
0.82,5.32777777777778
0.83,5.63823529411765
0.84,5.9875
0.85,6.38333333333333
0.86,6.83571428571428
0.87,7.35769230769231
0.88,7.96666666666667
0.89,8.68636363636364
0.9,9.55
0.91,10.6055555555556
0.92,11.925
0.93,13.6214285714286
0.94,15.8833333333333
0.95,19.05
0.96,23.8
0.97,31.7166666666666
0.98,47.55
0.99,95.0499999999999
0.9999,9500.05000000105
