Corrective step,Critical value
1,1.64485362695147
2,2.25712924448623
3,2.30870422033776
4,2.31089962114313
5,2.31098766919958
6,2.31099119149451
7,2.3109913323869
8,2.3109913380226
9,2.31099133824803
10,2.31099133825704
11,2.3109913382574
12,2.31099133825742
13,2.31099133825742
14,2.31099133825742
15,2.31099133825742
16,2.31099133825742
17,2.31099133825742
18,2.31099133825742
19,2.31099133825742
20,2.31099133825742
21,2.31099133825742
22,2.31099133825742
23,2.31099133825742
24,2.31099133825742
25,2.31099133825742
26,2.31099133825742
27,2.31099133825742
28,2.31099133825742
29,2.31099133825742
30,2.31099133825742
31,2.31099133825742
32,2.31099133825742
33,2.31099133825742
34,2.31099133825742
35,2.31099133825742
36,2.31099133825742
37,2.31099133825742
38,2.31099133825742
39,2.31099133825742
40,2.31099133825742
41,2.31099133825742
42,2.31099133825742
43,2.31099133825742
44,2.31099133825742
45,2.31099133825742
46,2.31099133825742
47,2.31099133825742
48,2.31099133825742
49,2.31099133825742
50,2.31099133825742
51,2.31099133825742
52,2.31099133825742
53,2.31099133825742
54,2.31099133825742
55,2.31099133825742
56,2.31099133825742
57,2.31099133825742
58,2.31099133825742
59,2.31099133825742
60,2.31099133825742
61,2.31099133825742
62,2.31099133825742
63,2.31099133825742
64,2.31099133825742
65,2.31099133825742
66,2.31099133825742
67,2.31099133825742
68,2.31099133825742
69,2.31099133825742
70,2.31099133825742
71,2.31099133825742
72,2.31099133825742
73,2.31099133825742
74,2.31099133825742
75,2.31099133825742
76,2.31099133825742
77,2.31099133825742
78,2.31099133825742
79,2.31099133825742
80,2.31099133825742
81,2.31099133825742
82,2.31099133825742
83,2.31099133825742
84,2.31099133825742
85,2.31099133825742
86,2.31099133825742
87,2.31099133825742
88,2.31099133825742
89,2.31099133825742
90,2.31099133825742
91,2.31099133825742
92,2.31099133825742
93,2.31099133825742
94,2.31099133825742
95,2.31099133825742
96,2.31099133825742
97,2.31099133825742
98,2.31099133825742
99,2.31099133825742
100,2.31099133825742
